skc,date_rcd,s,real_cost
100572116545,2018/7/12,1,98.75
100572116545,2018/8/20,1,98.75
100572117359,2018/10/1,1,11.25
100572117788,2018/7/20,1,98.75
100572118085,2018/7/11,2,48.75
100572118085,2018/7/2,1,156.25
100572118085,2018/8/4,1,51.25
100572118085,2018/8/6,1,156.25
100572118085,2018/9/2,1,152.5
100572118316,2018/7/1,26,2425
100572118316,2018/10/1,23,2060
100572118316,2018/7/8,20,1821.25
100572118316,2018/8/19,19,1826.25
100572118316,2018/7/7,17,1583.75
100572118316,2018/8/17,17,1658.75
100572118316,2018/9/24,17,1502.5
100572118316,2018/9/9,15,1412.5
100572118316,2018/9/23,15,1312.5
100572118316,2018/7/14,14,1350
100572118316,2018/7/15,13,1273.75
100572118316,2018/8/27,13,1233.75
100572118316,2018/8/29,13,1263.75
100572118316,2018/9/28,13,1127.5
100572118316,2018/7/3,12,1127.5
100572118316,2018/7/28,12,1111.25
100572118316,2018/8/26,12,1165
100572118316,2018/9/22,12,952.5
100572118316,2018/7/23,11,1076.25
100572118316,2018/8/4,11,1036.25
100572118316,2018/7/29,10,955
100572118316,2018/7/30,10,931.25
100572118316,2018/9/2,10,937.5
100572118316,2018/9/11,10,967.5
100572118316,2018/9/27,10,902.5
100572118316,2018/9/29,10,895
100572118316,2018/9/30,10,837.5
100572118316,2018/7/4,9,848.75
100572118316,2018/7/16,9,867.5
100572118316,2018/7/31,9,846.25
100572118316,2018/8/5,9,848.75
100572118316,2018/8/18,9,868.75
100572118316,2018/7/2,8,710
100572118316,2018/7/5,8,760
100572118316,2018/7/6,8,760
100572118316,2018/7/9,8,742.5
100572118316,2018/7/18,8,780
100572118316,2018/8/7,8,760
100572118316,2018/8/12,8,750
100572118316,2018/8/22,8,747.5
100572118316,2018/8/25,8,750
100572118316,2018/8/31,8,707.5
100572118316,2018/9/1,8,747.5
100572118316,2018/9/14,8,747.5
100572118316,2018/9/16,8,750
100572118316,2018/9/25,8,697.5
100572118316,2018/7/10,7,652.5
100572118316,2018/7/11,7,671.25
100572118316,2018/7/13,7,671.25
100572118316,2018/7/17,7,668.75
100572118316,2018/7/20,7,681.25
100572118316,2018/7/22,7,641.25
100572118316,2018/7/24,7,671.25
100572118316,2018/7/27,7,631.25
100572118316,2018/8/11,7,671.25
100572118316,2018/8/15,7,671.25
100572118316,2018/9/6,7,643.75
100572118316,2018/9/20,7,606.25
100572118316,2018/9/26,7,653.75
100572118316,2018/7/12,6,592.5
100572118316,2018/8/8,6,567.5
100572118316,2018/8/13,6,547.5
100572118316,2018/9/5,6,582.5
100572118316,2018/9/7,6,556.25
100572118316,2018/9/8,6,543.75
100572118316,2018/7/26,5,473.75
100572118316,2018/8/1,5,483.75
100572118316,2018/8/10,5,451.25
100572118316,2018/8/14,5,483.75
100572118316,2018/9/3,5,463.75
100572118316,2018/9/15,5,473.75
100572118316,2018/9/18,5,473.75
100572118316,2018/9/19,5,440
100572118316,2018/8/2,4,375
100572118316,2018/8/3,4,395
100572118316,2018/8/6,4,371.25
100572118316,2018/8/16,4,385
100572118316,2018/8/23,4,395
100572118316,2018/8/28,4,365
100572118316,2018/8/30,4,375
100572118316,2018/7/19,3,286.25
100572118316,2018/7/21,3,296.25
100572118316,2018/7/25,3,296.25
100572118316,2018/8/20,3,286.25
100572118316,2018/8/24,3,296.25
100572118316,2018/9/13,3,286.25
100572118316,2018/8/9,2,197.5
100572118316,2018/9/12,2,185
100572118316,2018/9/17,2,197.5
100572118316,2018/9/21,2,101.25
100572118316,2018/8/21,1,98.75
100572118316,2018/9/4,1,98.75
100572118316,2018/9/10,1,86.25
100572118591,2018/8/16,1,73.75
100572118888,2018/7/29,1,197.5
100572118888,2018/8/1,1,201.25
100572119130,2018/8/5,2,381.25
100572119130,2018/7/23,1,201.25
100572119130,2018/7/27,1,223.75
100572119130,2018/8/11,1,201.25
100572119130,2018/8/13,1,223.75
100572119130,2018/8/25,1,223.75
100572119174,2018/7/31,1,105
100572119174,2018/8/3,1,111.25
