skc,date_rcd,s,real_cost
100572118085,2019/6/19,1,23.75
100572118085,2019/6/27,1,20
100572118316,2019/6/1,3,286.25
100572118316,2019/6/2,5,440
100572118316,2019/6/3,1,68.75
100572118316,2019/6/6,2,170
100572118316,2019/6/7,5,448.75
100572118316,2019/6/8,1,86.25
100572118316,2019/6/9,2,177.5
100572118316,2019/6/10,3,286.25
100572118316,2019/6/11,2,197.5
100572118316,2019/6/12,2,197.5
100572118316,2019/6/14,2,175
100572118316,2019/6/15,4,347.5
100572118316,2019/6/16,3,285
100572118316,2019/6/17,1,98.75
100572118316,2019/6/18,1,78.75
100572118316,2019/6/20,1,88.75
100572118316,2019/6/22,8,432.5
100572118316,2019/6/23,1,98.75
100572118316,2019/6/26,1,98.75
100572118316,2019/6/27,2,197.5
100572118316,2019/6/28,2,187.5
100572118316,2019/6/29,4,371.25
100572118316,2019/6/30,3,276.25
100572118316,2019/7/1,5,473.75
100572118316,2019/7/2,5,483.75
100572118316,2019/7/3,3,286.25
100572118316,2019/7/4,1,98.75
100572118316,2019/7/5,1,98.75
100572118316,2019/7/6,4,377.5
100572118316,2019/7/7,5,482.5
100572118316,2019/7/8,3,286.25
100572118316,2019/7/10,2,187.5
100572118316,2019/7/11,2,187.5
100572118316,2019/7/13,1,83.75
100572118316,2019/7/14,6,502.5
100572118316,2019/7/15,2,197.5
100572118316,2019/7/16,2,187.5
100572118316,2019/7/17,3,283.75
100572118316,2019/7/18,3,286.25
100572118316,2019/7/19,5,451.25
100572118316,2019/7/20,5,468.75
100572118316,2019/7/21,5,463.75
100572118316,2019/7/22,1,98.75
100572118316,2019/7/23,6,540
100572118316,2019/7/24,3,253.75
100572118316,2019/7/25,5,463.75
100572118316,2019/7/26,5,451.25
100572118316,2019/7/27,3,183.75
100572118316,2019/7/28,6,542.5
100572118316,2019/7/29,3,296.25
100572118316,2019/7/31,3,276.25
100572118316,2019/8/1,7,658.75
100572118316,2019/8/2,4,395
100572118316,2019/8/3,6,592.5
100572118316,2019/8/4,8,777.5
100572118316,2019/8/6,1,98.75
100572118316,2019/8/7,3,296.25
100572118316,2019/8/8,2,197.5
100572118316,2019/8/9,2,167.5
100572118316,2019/8/10,2,190
100572118316,2019/8/11,2,197.5
100572118316,2019/8/12,1,98.75
100572118316,2019/8/14,1,92.5
100572118316,2019/8/15,2,197.5
100572118316,2019/8/16,1,85
100572118316,2019/8/17,3,265
100572118316,2019/8/18,2,191.25
100572118316,2019/8/20,5,485
100572118316,2019/8/21,1,98.75
100572118316,2019/8/22,1,90
100572118316,2019/8/23,2,197.5
100572118316,2019/8/24,2,185
100572118316,2019/8/25,1,98.75
100572118316,2019/8/26,1,98.75
100572118316,2019/8/30,1,61.25
100572118316,2019/8/31,1,82.5
100572118316,2019/9/1,1,98.75
100572118316,2019/9/2,4,386.25
100572118316,2019/9/6,1,98.75
100572118316,2019/9/7,1,98.75
100572118316,2019/9/8,1,88.75
100572118316,2019/9/10,1,98.75
100572118316,2019/9/13,3,257.5
100572118316,2019/9/14,2,170
100572118316,2019/9/15,3,266.25
100572118316,2019/9/16,1,88.75
100572118316,2019/9/17,1,98.75
100572118316,2019/9/20,2,197.5
100572118316,2019/9/21,1,98.75
100572118316,2019/9/23,2,197.5
100572118316,2019/9/26,1,98.75
100572118316,2019/9/27,2,175
100572118316,2019/9/30,2,181.25
100572118316,2019/10/1,4,313.75
100572119130,2019/6/17,1,23.75
100572119130,2019/6/20,1,23.75
100572119130,2019/9/23,1,23.75
100572119515,2019/6/22,1,11.25
100572119515,2019/7/14,1,11.25
100572119515,2019/8/4,1,86.25
100572119515,2019/8/21,1,12.5
100572119515,2019/8/23,1,13.75
100572119515,2019/8/25,1,15
100572119515,2019/9/21,1,23.75
100572122848,2019/9/22,1,73.75
100572122848,2019/9/24,1,73.75
100572225995,2019/6/27,1,6.25
100572225995,2019/8/10,1,73.75
100572225995,2019/9/13,1,73.75
100572551859,2019/7/14,1,8.75
100572775082,2019/6/28,1,13.75
100572775082,2019/7/1,1,48.75
100572775643,2019/7/8,1,73.75
100572775764,2019/6/2,1,48.75
100572775764,2019/6/8,2,91.25
100572775764,2019/6/14,1,41.25
100572775764,2019/6/15,1,42.5
100572775764,2019/6/16,1,48.75
100572775764,2019/6/17,1,48.75
100572775764,2019/6/19,1,43.75
100572775764,2019/6/21,1,3.75
100572775764,2019/6/22,1,42.5
100572775764,2019/6/25,2,52.5
100572775764,2019/6/26,2,92.5
100572775764,2019/6/28,1,48.75
100572775764,2019/6/30,1,41.25
100572775764,2019/7/2,2,92.5
100572775764,2019/7/4,2,92.5
100572775764,2019/7/5,2,86.25
100572775764,2019/7/6,1,42.5
100572775764,2019/7/7,1,42.5
100572775764,2019/7/10,2,92.5
100572775764,2019/7/11,1,48.75
100572775764,2019/7/12,1,43.75
100572775764,2019/7/13,1,48.75
100572775764,2019/7/16,1,48.75
100572775764,2019/7/20,1,43.75
100572775764,2019/7/21,1,48.75
100572775764,2019/7/22,2,97.5
100572775764,2019/7/26,2,92.5
100572775764,2019/7/28,1,48.75
100572775764,2019/8/5,1,48.75
100572775764,2019/8/6,1,48.75
100572775764,2019/8/7,1,48.75
100572775764,2019/8/9,2,97.5
100572775764,2019/8/10,1,45
100572775764,2019/8/11,1,43.75
100572775764,2019/8/15,1,48.75
100572775764,2019/8/21,1,48.75
100572775764,2019/8/28,1,48.75
100572775764,2019/8/30,1,48.75
100572775764,2019/8/31,1,37.5
100572775764,2019/9/3,1,48.75
100572775764,2019/9/4,2,97.5
100572775764,2019/9/13,1,48.75
100572775764,2019/9/14,1,48.75
100572775764,2019/9/19,1,45
100572775764,2019/9/22,1,48.75
100572775764,2019/9/23,1,46.25
100572775764,2019/9/28,1,40
100572775764,2019/10/1,2,53.75
100573321342,2019/6/8,1,108.75
100573321342,2019/6/14,1,111.25
100573321342,2019/6/15,1,113.75
100573321342,2019/7/27,1,13.75
100573321342,2019/9/1,1,123.75
100574530121,2019/8/30,1,73.75
100574530121,2019/9/6,1,73.75
100574530121,2019/9/10,1,73.75
100574530121,2019/9/14,1,68.75
100574530121,2019/9/23,1,11.25
100574530121,2019/9/27,1,11.25
100574530121,2019/10/1,4,40
100574530176,2019/6/30,1,77.5
100574530176,2019/7/8,1,88.75
100574640033,2019/8/3,1,11.25
100574640033,2019/8/11,1,11.25
100574640033,2019/9/30,1,11.25
100574640033,2019/10/1,1,7.5
100574640077,2019/7/31,1,42.5
100574640077,2019/8/1,4,195
100574640077,2019/8/2,11,523.75
100574640077,2019/8/3,8,390
