,skc,ie,discount,fashion_level,s
0,796573650638,668.0,0.8705606943017015,1,126
1,796573650638,550.3333333333334,0.8847322142286171,1,90
2,796573650638,474.0,0.8961330935251799,1,16
3,796573650638,495.0,0.762589928057554,1,12
4,396573870660,573.7142857142857,0.8709775905232948,1,103
5,396573870660,410.0,0.8747855917667239,1,22
6,396573870660,413.0,0.8757861635220126,1,4
7,396573870660,419.0,0.7358490566037735,1,3
8,690572114917,558.5714285714286,None,None,118
9,690572114917,497.0,None,None,60
10,690572114917,420.0,None,None,12
11,690572114917,487.0,None,None,7
12,996573870572,501.2857142857143,0.8928516643657003,1,82
13,996573870572,394.6666666666667,0.8808962264150944,1,32
14,996573870572,425.0,0.8941299790356395,1,6
15,996573870572,396.0,0.6981132075471698,1,8
16,996572333025,607.5714285714286,0.8685361073420775,1,67
17,996572333025,478.6666666666667,0.8686868686868687,1,26
18,996572333025,532.0,0.8484848484848485,1,2
19,996572333025,502.0,0.696969696969697,1,1
20,802573650495,294.85714285714283,0.8468814661543009,1,51
21,802573650495,211.0,0.8944723618090452,1,34
22,802573650495,241.0,0.9723618090452262,1,2
23,802573650495,244.0,0.6984924623115578,1,3
24,496572333586,324.2857142857143,0.8723599632690542,0,33
25,496572333586,192.66666666666666,0.7575757575757576,0,6
26,496572333586,244.0,0.9393939393939394,0,1
27,496572333586,218.0,0.7575757575757576,0,3
28,302572775577,622.4285714285714,0.8904109589041096,0,73
29,302572775577,413.3333333333333,0.864406779661017,0,80
30,302572775577,561.0,0.8762711864406779,0,10
31,302572775577,413.0,0.7330508474576272,0,8
32,408572660891,811.7142857142857,None,None,89
33,408572660891,598.6666666666666,None,None,26
34,408572660891,684.0,None,None,1
35,408572660891,621.0,None,None,7
36,499572333179,540.2857142857143,0.8878525427492783,1,57
37,499572333179,437.0,0.8734177215189873,1,12
38,499572333179,413.0,0.8481012658227848,1,1
39,499572333179,426.0,0.7974683544303798,1,5
40,196573870759,345.2857142857143,0.8893939393939394,0,40
41,196573870759,213.33333333333334,0.898989898989899,0,2
42,196573870759,265.0,0.8914141414141414,0,4
43,196573870759,226.0,0.696969696969697,0,3
44,100572118316,597.5714285714286,0.9072591061741151,1,98
45,100572118316,356.3333333333333,0.8932489451476793,1,60
46,100572118316,482.0,0.8544303797468354,1,10
47,100572118316,367.0,0.7251356238698011,1,7
48,102573650748,393.57142857142856,0.8662956427310982,0,53
49,102573650748,222.0,0.9415467625899281,0,16
50,102573650748,319.0,0.883453237410072,0,5
51,102573650748,266.0,0.697841726618705,0,2
52,902573870176,192.85714285714286,None,None,32
53,902573870176,104.66666666666667,None,None,0
54,902573870176,134.0,None,None,0
55,902573870176,117.0,None,None,2
56,490572114587,339.7142857142857,None,None,84
57,490572114587,268.0,None,None,56
58,490572114587,228.0,None,None,3
59,490572114587,273.0,None,None,7
60,902572118613,183.14285714285714,0.8949494949494949,0,40
61,902572118613,274.0,0.8961616161616162,0,50
62,902572118613,256.0,0.8672438672438673,0,7
63,902572118613,275.0,0.696969696969697,0,5
64,896572118954,432.42857142857144,0.8878787878787879,0,60
65,896572118954,85.66666666666667,0.9090909090909091,0,10
66,896572118954,258.0,0.4225589225589225,0,12
67,896572118954,162.0,0.7194163860830527,0,9
68,496572117700,300.42857142857144,0.835427135678392,1,32
69,496572117700,204.33333333333334,0.8994974874371859,1,10
70,496572117700,282.0,0.8944723618090452,1,2
71,496572117700,229.0,None,1,0
72,596572118723,256.7142857142857,0.875134091396696,0,59
73,596572118723,204.0,0.8331415420023014,0,22
74,596572118723,203.0,0.9588607594936709,0,4
75,596572118723,226.0,0.6962025316455697,0,9
76,902573320275,465.42857142857144,None,None,102
77,902573320275,581.6666666666666,None,None,84
78,902573320275,466.0,None,None,13
79,902573320275,512.0,None,None,17
80,433572114917,339.7142857142857,None,None,70
81,433572114917,301.6666666666667,None,None,60
