date_rcd,skc,s,real_cost
2018-10-01,100572118316,23,2060.0
2018-10-02,100572118316,17,1498.75
2018-10-03,100572118316,15,1367.5
2018-10-04,100572118316,12,1062.5
2018-10-05,100572118316,8,730.0
2018-10-06,100572118316,15,1332.5
2018-10-07,100572118316,8,728.75
2018-10-01,102572118283,14,1218.75
2018-10-02,102572118283,9,780.0
2018-10-03,102572118283,10,895.0
2018-10-04,102572118283,6,520.0
2018-10-05,102572118283,9,793.75
2018-10-06,102572118283,10,856.25
2018-10-07,102572118283,3,255.0
2018-10-01,102573321111,13,855.0
2018-10-02,102573321111,4,257.5
2018-10-03,102573321111,9,605.0
2018-10-04,102573321111,7,470.0
2018-10-05,102573321111,5,346.25
2018-10-06,102573321111,10,658.75
2018-10-07,102573321111,8,542.5
2018-10-01,102573650748,5,721.25
2018-10-02,102573650748,10,1538.75
2018-10-03,102573650748,9,1375.0
2018-10-04,102573650748,7,1066.25
2018-10-05,102573650748,10,1503.75
2018-10-06,102573650748,5,730.0
2018-10-07,102573650748,7,1042.5
2018-10-01,196573870759,10,1067.5
2018-10-02,196573870759,6,651.25
2018-10-03,196573870759,5,555.0
2018-10-04,196573870759,7,772.5
2018-10-05,196573870759,5,558.75
2018-10-06,196573870759,4,465.0
2018-10-07,196573870759,3,332.5
2018-10-01,296572114433,14,931.25
2018-10-02,296572114433,9,615.0
2018-10-03,296572114433,9,583.75
2018-10-04,296572114433,16,1087.5
2018-10-05,296572114433,12,806.25
2018-10-06,296572114433,11,703.75
2018-10-07,296572114433,7,463.75
2018-10-01,296572551749,11,965.0
2018-10-02,296572551749,2,170.0
2018-10-03,296572551749,8,758.75
2018-10-04,296572551749,6,522.5
2018-10-05,296572551749,4,332.5
2018-10-06,296572551749,2,190.0
2018-10-07,296572551749,6,506.25
2018-10-01,302572775577,13,871.25
2018-10-02,302572775577,12,778.75
2018-10-03,302572775577,8,528.75
2018-10-04,302572775577,13,826.25
2018-10-05,302572775577,11,723.75
2018-10-06,302572775577,9,598.75
2018-10-07,302572775577,7,466.25
2018-10-01,390572118052,6,1125.0
2018-10-02,390572118052,8,1507.5
2018-10-03,390572118052,8,1508.75
2018-10-04,390572118052,3,565.0
