skc,date_rcd,s,real_cost
100572118316,2018-04-07,3,290.0
100572118316,2018-04-08,1,86.25
100572118316,2018-04-09,1,98.75
100572118316,2018-04-10,2,191.25
100572118316,2018-04-11,8,785.0
100572118316,2018-04-12,11,1040.0
100572118316,2018-04-13,11,1040.0
100572118316,2018-04-14,11,1040.0
100572118316,2018-04-15,12,1130.0
100572118316,2018-04-16,7,633.75
100572118316,2018-04-17,4,352.5
100572118316,2018-04-18,9,853.75
100572118316,2018-04-19,7,645.0
100572118316,2018-04-20,4,386.25
100572118316,2018-04-21,6,577.5
100572118316,2018-04-22,6,548.75
100572118316,2018-04-23,5,462.5
100572118316,2018-04-24,5,481.25
100572118316,2018-04-25,5,463.75
100572118316,2018-04-26,10,920.0
100572118316,2018-04-27,11,1047.5
100572118316,2018-04-28,13,1105.0
100572118316,2018-04-29,14,1235.0
100572118316,2018-04-30,17,1502.5
100572118316,2018-05-01,13,1127.5
100572118316,2018-05-02,7,640.0
100572118316,2018-05-03,3,296.25
100572118316,2018-05-04,5,448.75
100572118316,2018-05-05,5,458.75
100572118316,2018-05-06,8,752.5
100572118316,2018-05-07,3,286.25
100572118316,2018-05-08,3,296.25
100572118316,2018-05-09,2,167.5
100572118316,2018-05-10,3,236.25
100572118316,2018-05-11,2,182.5
100572118316,2018-05-12,4,340.0
100572118316,2018-05-13,4,330.0
100572118316,2018-05-14,2,187.5
100572118316,2018-05-15,4,365.0
100572118316,2018-05-16,1,83.75
100572118316,2018-05-17,5,451.25
100572118316,2018-05-19,3,266.25
100572118316,2018-05-20,6,551.25
100572118316,2018-05-21,4,370.0
100572118316,2018-05-22,1,98.75
100572118316,2018-05-23,2,187.5
100572118316,2018-05-26,3,266.25
100572118316,2018-05-27,1,98.75
100572118316,2018-05-28,1,88.75
100572118316,2018-05-29,2,187.5
100572118316,2018-05-30,2,197.5
100572118316,2018-05-31,9,838.75
100572118316,2018-06-01,19,1727.5
100572118316,2018-06-02,23,2111.25
100572118316,2018-06-03,15,1371.25
100572118316,2018-06-04,3,276.25
100572118316,2018-06-05,7,653.75
100572118316,2018-06-06,7,641.25
100572118316,2018-06-07,3,276.25
100572118316,2018-06-08,6,532.5
100572118316,2018-06-09,14,1262.5
100572118316,2018-06-10,16,1471.25
100572118316,2018-06-11,9,818.75
100572118316,2018-06-12,8,720.0
100572118316,2018-06-13,7,661.25
